"n","alpha_F"
250,48.9303257975418
250,54.7849177334991
250,47.8065830687212
250,54.9295991871003
250,37.5761751112931
250,47.0711016917919
250,50.5680652952111
250,44.8183575726583
250,42.1687151673912
250,49.4882816534524
250,43.172921824691
250,39.2543152191805
250,49.3057360568576
250,44.8009321070373
250,45.3429044472487
250,42.7198549473301
250,49.1446620655343
250,42.8958401637878
250,38.7830369726683
250,47.6840913458786
250,46.5169866347377
250,39.7993688925751
250,55.7865107838481
250,39.370012524272
250,45.5303730005133
250,45.2982930920288
250,59.4622834930485
250,53.2398999232446
250,51.7572853364971
250,47.7697193566838
250,42.0298469195402
250,54.7503697377309
250,54.8871631910201
250,56.0448321075425
250,48.7907311007321
250,45.5245726756761
250,46.1765056229693
250,47.8908709292145
250,42.3293890783345
250,42.4884915567785
250,45.4888613437594
250,39.0770541316319
250,44.5134852069411
250,49.218215647228
250,42.0037691780967
250,40.7361169462331
250,46.704192959308
250,46.2644360645802
250,52.3358341337514
250,43.8609565629795
250,48.2644945593982
250,44.4932413362198
250,41.1488474330746
250,54.9888102585618
250,39.9209377904172
250,43.0604594120035
250,41.9322587096563
250,40.4313684279488
250,42.808183949436
250,46.0018200635541
250,42.5461348772876
250,42.8662484085991
250,45.7230680058341
250,47.4634592894349
250,49.9092194167567
250,42.2632179140475
250,35.7521373496899
250,45.8249332764706
250,42.6707385890856
250,41.3464264588366
250,47.7490964329661
250,44.7178043989968
250,40.5213517587504
250,50.8945925687831
250,43.0468332075138
250,49.0066040739218
250,49.9165870809937
250,48.5950806854553
250,52.1806158832115
250,41.8711701409107
250,42.4850674305883
250,48.8060754711198
250,49.4713811175564
250,44.2470252994417
250,37.0582933092118
250,47.9251808249333
250,42.9024764494009
250,42.9750688887929
250,48.1048669857492
250,42.9016339462429
250,45.5330295223004
250,45.8278639690682
250,41.2159019363339
250,47.1151710506593
250,48.5932979922257
250,50.1610235062441
250,55.9241810223237
250,47.9710236480068
250,44.4555248046494
250,49.4093216009301
250,51.7975429507641
250,42.1376688617632
250,45.8766918017188
250,50.6383422122371
250,45.0236123926302
250,51.3199572048969
250,44.0319880817192
250,62.3483513095378
250,44.376123354584
250,52.8695512907954
250,39.6629179722557
250,49.3009006773052
250,49.7362364540289
250,42.1257312227836
250,41.1684597428188
250,43.8802926237486
250,43.8380196905804
250,48.384288735495
250,50.3117834681249
250,52.9721288536359
250,49.3643050401298
250,45.0453257930586
250,48.1286366017883
250,41.7942357873281
250,50.6551052921075
250,40.1738082839875
250,43.7127650329124
250,55.0429703523079
250,44.9693397003813
250,40.3662618058837
250,43.5300732472638
250,55.4863407535863
250,43.8066646014944
250,50.1687627831334
250,44.2597859486979
250,44.4452882727293
250,46.3121311186416
250,46.0523888689319
250,39.0083256482681
250,48.8535982634953
250,51.3883722316199
250,41.2443834333709
250,48.5686979179975
250,45.8530569818276
250,52.8872447259725
250,41.2108557516339
250,58.0555589747936
250,42.2935233544887
250,49.4729629911931
250,49.9912617639644
250,48.032345730766
250,55.7905981052284
250,40.5849668889995
250,53.4502890641246
250,43.3836283134037
250,50.0245633875367
250,47.995310304939
250,40.7161596013829
250,51.4919849111992
250,49.0784174004835
250,48.9167949202204
250,42.4210310465887
250,44.4310160713717
250,48.025390556076
250,50.8533332617481
250,60.1861344783409
250,62.9702801970563
250,54.5052826550463
250,52.6676279707521
250,50.3677300156261
250,46.4277696104901
250,46.7533608754009
250,44.1826520505132
250,40.5611508105342
250,55.7446430002713
250,48.5492623637467
250,43.4274408000188
250,44.7179920957875
250,44.4516890647261
250,40.9584026100554
250,47.4623449777478
250,39.6787454184293
250,51.1369189544761
250,49.1851135698774
250,52.0352480647333
250,44.0570360071329
250,49.8123393465335
250,43.9050231364268
250,40.7957512805136
250,41.7064698594734
250,44.8122170684224
